nflId,displayName_x,position,totalTackles,pff_missedTackle,assists,displayName_y,club,side,within_1_yard,within_3_yards,within_5_yards,totalPlays,tackle_contribution_rate
46091,Rashaan Evans,ILB,45,6,39,Rashaan Evans,ATL,Defense,96,70,90,355,0.20224719101123595
46304,Zaire Franklin,OLB,55,12,28,Zaire Franklin,IND,Defense,83,65,83,335,0.19856459330143542
43325,Myles Jack,ILB,41,6,26,Myles Jack,PIT,Defense,67,48,63,278,0.18475073313782991
42388,Eric Kendricks,ILB,41,10,24,Eric Kendricks,MIN,Defense,66,52,72,291,0.19834710743801653
41243,C.J. Mosley,ILB,55,8,32,C.J. Mosley,NYJ,Defense,66,71,70,313,0.18276762402088773
54492,Devin Lloyd,ILB,34,12,32,Devin Lloyd,JAX,Defense,66,69,78,314,0.1989795918367347
44888,Alex Anzalone,ILB,37,4,24,Alex Anzalone,DET,Defense,64,56,78,286,0.21428571428571427
47913,Drue Tranquill,ILB,43,13,20,Drue Tranquill,LAC,Defense,63,41,68,262,0.20606060606060606
48516,T.J. Edwards,ILB,49,8,25,T.J. Edwards,PHI,Defense,63,53,63,269,0.1897590361445783
45345,Nicholas Morrow,OLB,40,10,19,Nicholas Morrow,CHI,Defense,63,61,81,312,0.20610687022900764
46139,Fred Warner,ILB,33,3,21,Fred Warner,SF,Defense,63,53,52,249,0.17275747508305647
46077,Roquan Smith,ILB,50,7,32,Roquan Smith,CHI,Defense,63,57,72,293,0.19726027397260273
46085,Tremaine Edmunds,ILB,39,5,23,Tremaine Edmunds,BUF,Defense,63,47,58,240,0.19463087248322147
43404,De'Vondre Campbell,ILB,37,9,26,De'Vondre Campbell,GB,Defense,62,44,68,263,0.2054380664652568
42427,Jordan Hicks,ILB,54,5,20,Jordan Hicks,MIN,Defense,62,40,66,261,0.2018348623853211
44848,Budda Baker,SS,44,11,26,Budda Baker,ARI,Defense,62,50,84,332,0.20192307692307693
46269,Foyesade Oluokun,ILB,59,11,26,Foyesade Oluokun,JAX,Defense,62,69,76,323,0.19047619047619047
52527,Mykal Walker,ILB,43,7,25,Mykal Walker,ATL,Defense,61,61,76,307,0.19843342036553524
53489,Pete Werner,OLB,51,8,22,Pete Werner,NO,Defense,60,51,62,266,0.18902439024390244
47855,Germaine Pratt,OLB,26,7,31,Germaine Pratt,CIN,Defense,60,43,48,223,0.17712177121771217
46088,Leighton Vander Esch,OLB,34,3,25,Leighton Vander Esch,DAL,Defense,60,55,64,265,0.1945288753799392
47788,Devin White,ILB,36,6,27,Devin White,TB,Defense,59,55,86,325,0.20924574209245742
53487,Nick Bolton,ILB,46,2,23,Nick Bolton,KC,Defense,58,54,63,283,0.18208092485549132
53445,Zaven Collins,OLB,39,13,24,Zaven Collins,ARI,Defense,58,58,82,324,0.2019704433497537
53448,Jamin Davis,OLB,30,7,13,Jamin Davis,WAS,Defense,57,40,60,242,0.1986754966887417
38577,Bobby Wagner,ILB,40,1,23,Bobby Wagner,LA,Defense,57,51,75,284,0.20891364902506965
46188,Kyzir White,ILB,30,7,23,Kyzir White,PHI,Defense,56,36,47,203,0.188
54502,Jalen Pitre,FS,34,19,20,Jalen Pitre,HOU,Defense,56,47,81,270,0.23076923076923078
